ID;Количество комнат;Тип;Метро;Адрес;Площадь, м2;Дом;Парковка;Цена;Телефоны;Площадь комнат, м2;Название ЖК;Высота потолков, м;Ссылка на объявление
314200843;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;46.3/17.6/11.5;19/20, Монолитный;подземная;18622786 руб., 214-ФЗ, Возможна ипотека;74951378725;17.6;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/314200843
307196743;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;45.8/16.2/16.4;12/18, Монолитный;подземная;18671744 руб., 214-ФЗ, Возможна ипотека;74951378725;16.2;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/307196743
315444913;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;45.7/16.2/16.3;15/18, Монолитный;подземная;18714150 руб., 214-ФЗ, Возможна ипотека;74951378725;16.2;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/315444913
314200846;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;45.7/16.1/16.4;14/18, Монолитный;подземная;18714150 руб., 214-ФЗ, Возможна ипотека;74951378725;16.1;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/314200846
314200839;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;50.1/15.3/20.1;7/18, Монолитный;подземная;19604130 руб., 214-ФЗ, Возможна ипотека;74951378725;15.3;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/314200839
316078744;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;46.4/17.5/11.5;9/20, Монолитный;подземная;20091200 руб., 214-ФЗ, Возможна ипотека;74951378725;17.5;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/316078744
315444921;1;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;50.0/15.4/20.1;17/18, Монолитный;подземная;20930000 руб., 214-ФЗ, Возможна ипотека;74951378725;15.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/315444921
315713658;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.5/32.3/7.0;4/35, Монолитный;;20852811 руб., Свободная продажа;74951462481;;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;https://www.cian.ru/sale/flat/315713658
315713663;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.3/32.3/7.0;6/35, Монолитный;;20920591 руб., Свободная продажа;74951462481;;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;https://www.cian.ru/sale/flat/315713663
315713680;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.3/32.3/7.0;10/35, Монолитный;;21123332 руб., Свободная продажа;74951462481;;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;https://www.cian.ru/sale/flat/315713680
315713686;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.3/32.3/7.0;13/35, Монолитный;;21275365 руб., Свободная продажа;74951462481;;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;https://www.cian.ru/sale/flat/315713686
315713708;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.5/32.3/7.0;16/35, Монолитный;;21565193 руб., Свободная продажа;74951462481;;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;https://www.cian.ru/sale/flat/315713708
315713693;2;Продажа квартиры в новостройке;м. Речной вокзал (6 мин пешком);Москва, Фестивальная улица, 15к6;49.5/32.3/7.0;15/35, Монолитный;;21514325 руб., Свободная продажа;74951462481;;Фестиваль парк-2, Корпус - Корпус 24.1, Срок сдачи (год, квартал) - 2024, Четвертый;3.1;https://www.cian.ru/sale/flat/315713693
315819530;1;Продажа квартиры в новостройке;м. Алексеевская (9 мин пешком);Москва, Староалексеевская улица, 5А;52.0;3/27, Монолитный;подземная;21725835 руб., 214-ФЗ;74951374303;;Лайм, Корпус - 5а, Срок сдачи (год, квартал) - 2022, Первый;;https://www.cian.ru/sale/flat/315819530
307196766;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.2/30.6/11.3;4/20, Монолитный;подземная;21888776 руб., 214-ФЗ, Возможна ипотека;74951378725;16.2-14.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/307196766
311419362;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;55.8/30.5/11.2;9/20, Монолитный;подземная;21936096 руб., 214-ФЗ, Возможна ипотека;74951378725;16.1-14.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/311419362
296839756;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.1/30.6/11.2;14/20, Монолитный;подземная;22054032 руб., 214-ФЗ, Возможна ипотека;74951378725;16.2-14.4;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/296839756
308353101;1;Продажа квартиры в новостройке;м. Алексеевская (9 мин пешком);Москва, Староалексеевская улица, 5А;51.1;11/27, Монолитный;подземная;22243192 руб., 214-ФЗ;74951374303;;Лайм, Корпус - 5а, Срок сдачи (год, квартал) - 2022, Первый;;https://www.cian.ru/sale/flat/308353101
308416070;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;57.5/30.9/11.9;15/20, Монолитный;подземная;22374170 руб., 214-ФЗ, Возможна ипотека;74951378725;15.9-15;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/308416070
303136764;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.2/30.7/11.3;19/20, Монолитный;подземная;22400196 руб., 214-ФЗ, Возможна ипотека;74951378725;16.2-14.5;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/303136764
305746921;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.9/31.1/11.3;10/15, Монолитный;подземная;22316749 руб., 214-ФЗ, Возможна ипотека;74951378725;16.2-14.9;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/305746921
287736823;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;57.4/30.9/11.8;20/20, Монолитный;подземная;22549418 руб., 214-ФЗ, Возможна ипотека;74951378725;15.9-15;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/287736823
315444905;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;57.7/30.9/11.9;18/20, Монолитный;подземная;22667272 руб., 214-ФЗ, Возможна ипотека;74951378725;15.9-15;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/315444905
292151660;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;56.8/31.0/11.3;15/15, Монолитный;подземная;22561812 руб., 214-ФЗ, Возможна ипотека;74951378725;16.1-14.9;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/292151660
307196706;2, Изолированная;Продажа квартиры в новостройке;м. Водный стадион (4 мин на машине);Москва, Михалковская улица, 48к1;58.0/31.3/11.8;17/20, Монолитный;подземная;22906520 руб., 214-ФЗ, Возможна ипотека;74951378725;16.2-15.1;Михалковский, Корпус - Корпус 3, Срок сдачи 2024;2.8;https://www.cian.ru/sale/flat/307196706
308353069;1;Продажа квартиры в новостройке;м. Алексеевская (9 мин пешком);Москва, Староалексеевская улица, 5А;52.9;19/27, Монолитный;подземная;23236003 руб., 214-ФЗ;74951374303;;Лайм, Корпус - 5а, Срок сдачи (год, квартал) - 2022, Первый;;https://www.cian.ru/sale/flat/308353069
308353058;1;Продажа квартиры в новостройке;м. Алексеевская (9 мин пешком);Москва, Староалексеевская улица, 5А;52.9;16/27, Монолитный;подземная;23236003 руб., 214-ФЗ;74951374303;;Лайм, Корпус - 5а, Срок сдачи (год, квартал) - 2022, Первый;;https://www.cian.ru/sale/flat/308353058
315863930;1;Продажа квартиры в новостройке;м. Селигерская (14 мин пешком);Москва, Северный ао, Западное Дегунино р-н, Левел Селигерская ЖК, к2;33.9/12.1;7/31, Монолитно-кирпичный;подземная;12200000 руб., Договор уступки права требования, Возможна ипотека;79663056755;;Level Селигерская, Корпус - Корпус 3, Срок сдачи (год, квартал) - 2024, Третий;2.72;https://www.cian.ru/sale/flat/315863930
